user_id,account_id,max_return_days,average_return_days,customer_since_months,total_revenue,average_revenue,avg_vas_count,avg_used_vas_value,business_type,avg_wallet_bonus,avg_active_ads,avg_new_ads,avg_email_replies,avg_call_replies,avg_sms_replies,target
410039,496,8,1.5,14,0,0,3.666666667,66.66666667,0,300,79.33333333,15.25,32.41666667,27.91666667,0.25,0
410240,499,37,8.2,10,0,0,4.9,114,0,0,232.1,18.3,16.2,13.8,0,0
411764,493,9,1.533333333,15,0,0,5.333333333,106.6666667,0,150,55.08333333,3.75,20.25,24.5,0,0
411985,262,1,1,14,0,0,6.307692308,176.1538462,0,1481,409.5384615,80.76923077,87.46153846,57.61538462,0,1
412071,496,1,1,18,0,0,5.846153846,109.2307692,0,41.5,48.23076923,1.692307692,17.46153846,25.76923077,0.230769231,0
412391,113,1,1,14,0,0,12.69230769,380.7692308,0,350,799.1538462,115.1538462,166.3076923,160.7692308,0.153846154,0
412662,1005,21,4.636363636,11,0,0,1,26.36363636,0,0,119.7272727,12.45454545,46,57.27272727,0.181818182,0
457000,262,29,3.25,16,0,0,3.25,68.75,3,63.07,26.9375,3.25,18.625,17.0625,0.0625,0
490356,1005,3,1.4,5,0,0,0,0,5,0,2.5,0.5,1,1.75,0,1
491551,1017,1,1,2,0,0,0,0,0,0,74.5,10.5,4.5,9.5,0,1
498775,499,2,1.076923077,13,0,0,3.75,77.5,0,740,433.0833333,47,62.75,92.75,0.166666667,0
4100278,262,49,17.5,8,0,0,1.25,21.25,0,0,411.375,24.125,12.25,16,0,0
4100467,496,25,2.846153846,13,0,0,2.25,55.83333333,0,230,62.91666667,1.666666667,28.66666667,28,0,0
4100679,112,1,1,13,0,0,1.538461538,20,0,1436.99,71.53846154,2.076923077,12.61538462,8.076923077,0,0
4100787,111,65,28.5,12,0,0,10,281.1111111,0,820,1407.777778,103,128.8888889,114.6666667,0,0
4100818,496,1,1,15,0,0,2.692307692,76.15384615,0,4267,167.6153846,15.38461538,31.61538462,40.53846154,0,0
4101166,262,1,1,13,0,0,6.384615385,174.6153846,0,880,253.3846154,31.61538462,69.46153846,72.30769231,0.076923077,0
4101464,1005,1,1,15,1984.7153,152.6704077,19.46153846,509.2307692,0,5.12,378.4615385,71.15384615,61.38461538,57.69230769,0,0
4101511,113,1,1,15,0,0,11.84615385,205.3846154,0,310,201.2307692,17.07692308,96.46153846,70.46153846,0.769230769,0
4101686,262,32,4.153846154,13,0,0,3.363636364,87.27272727,0,200,45.27272727,1.545454545,12.63636364,13.81818182,0.181818182,0
4102261,493,5,1.266666667,15,200.9512,15.45778462,4.846153846,116.9230769,0,340,59.23076923,6.461538462,23.69230769,28.30769231,0,0
4102370,496,32,3.214285714,14,0,0,2.833333333,70,0,575,159.3333333,19.75,41.25,29,0,0
4102786,1005,1,1,13,0,0,5.666666667,170,0,900,210.9166667,15.41666667,60.75,77.16666667,0,0
4102944,496,1,1,14,0,0,5,111.5384615,0,178,51.92307692,4.692307692,143.5384615,166.0769231,0.538461538,0
4103127,1005,70,47,3,0,0,1,30,0,0,13.33333333,0.666666667,4,1.666666667,0,1
4103484,499,1,1,13,318.9024,24.53095385,3.615384615,96.15384615,0,625.78,33.46153846,5.615384615,19.30769231,26.30769231,0.076923077,0
4103828,113,31,8.5,16,502.3816,35.8844,11.78571429,241.4285714,0,322.07,377,41.35714286,91.14285714,101.0714286,0.428571429,0
4104119,262,1,1,14,0,0,5,104.6153846,0,60.01,37.15384615,5.538461538,48.92307692,44.30769231,0.307692308,0
4104244,496,7,1.571428571,14,665.25,51.17307692,5.615384615,137.6923077,0,35.95,62.92307692,8.076923077,55.84615385,67.92307692,0.153846154,0
4104434,496,1,1,14,0,0,5,122.3076923,0,450,112.5384615,10.69230769,32.07692308,22.38461538,0.230769231,0
4104521,1005,3,1.125,16,0,0,10.84615385,228.4615385,0,1380,419.8461538,50.30769231,66.30769231,74.30769231,0.153846154,0
4104792,262,1,1,14,0,0,4.615384615,108.4615385,0,1064.5,145.8461538,5.615384615,11.30769231,11.69230769,0.076923077,0
4104847,1017,105,8.428571429,14,0,0,7.2,111,0,300,334.6,42.4,55.6,48.2,0.4,0
4105198,1005,90,9.9,10,0,0,2.2,46,0,240,145.3,9.4,8.6,6,0,0
4105397,499,9,1.571428571,14,0,0,5,130,0,3751.7,356.8333333,25.5,26.75,30.25,0.166666667,0
4106065,499,1,1,15,860.1056,66.16196923,18.15384615,346.9230769,0,80.82,446.6153846,22.92307692,66.61538462,85,0.153846154,0
4106427,496,1,1,15,0,0,5.153846154,152.3076923,0,450,96.53846154,13.53846154,24.46153846,16.76923077,0,0
4106597,1005,81,16.66666667,9,0,0,0.714285714,14.28571429,0,300,18.85714286,3.285714286,1.285714286,2.142857143,0,1
4107480,1005,1,1,12,0,0,2.333333333,70,0,0,103.25,2.666666667,11.41666667,12.83333333,0,0
4107547,262,10,3,14,0,0,3.083333333,66.66666667,0,0,94.5,7.25,49.5,48.58333333,0.416666667,0
4107817,499,1,1,15,0,0,5.846153846,157.6923077,0,781,380,21.61538462,41.38461538,46.30769231,0.076923077,0
4107996,499,1,1,14,322.9024,24.83864615,6.692307692,150,0,10,35.53846154,10,98.92307692,105.7692308,0.846153846,0
4108066,1005,1,1,14,0,0,0,0,0,3300,122.8461538,11.46153846,35.69230769,57.69230769,0.153846154,0
4108317,496,57,9.1,10,0,0,4.2,124,0,0,329.6,80.6,56.5,35.5,0,1
4108427,113,1,1,14,0,0,6.076923077,170.7692308,0,140,228.6153846,38.15384615,45.15384615,51,0.384615385,0
4108648,499,1,1,13,0,0,1.538461538,46.15384615,0,600,86.23076923,12.69230769,4.692307692,3.846153846,0,0
4108765,499,1,1,16,1945.7,149.6692308,12.92307692,306.1538462,0,621.03,261.3076923,22.53846154,48,45.07692308,0.076923077,0
4109263,496,2,1.066666667,15,0,0,8.461538462,202.3076923,0,600,225.6923077,19.69230769,58.23076923,73.69230769,0.692307692,0
4109428,113,30,3.230769231,13,0,0,3.642857143,95.71428571,0,4380,482.1428571,47.07142857,52.21428571,47.78571429,0.214285714,0
4109765,262,1,1,14,0,0,2.769230769,71.53846154,0,434,77.76923077,17.46153846,46,48,0,0
4110683,262,1,1,15,156.3008,12.02313846,8,123.0769231,0,0,146.5384615,16.92307692,70.30769231,84.07692308,0,0
4110859,496,55,23.81818182,11,0,0,0,0,0,200,16,3.333333333,42,25.66666667,0.333333333,0
4111085,364,6,2.3125,16,2224.3869,158.8847786,7.714285714,222.8571429,0,210,33.92857143,4.5,4.714285714,4.857142857,0,0
4111131,1005,1,1,13,0,0,2.692307692,78.46153846,0,3185.11,87.84615385,18.38461538,128.1538462,124.8461538,0.307692308,0
4111537,202,1,1,3,0,0,46.33333333,603.3333333,0,0,1382.666667,114,227,233.6666667,2,0
4111851,499,1,1,21,485.05,37.31153846,1.923076923,43.07692308,0,8929.07,327.1538462,16.53846154,26.23076923,32.53846154,0,0
4111965,262,1,1,13,0,0,3.916666667,70,0,360,94.5,4.083333333,45.25,89.58333333,0,0
4112997,1005,4,1.214285714,14,353.252,27.17323077,4.692307692,110.7692308,0,300,30.53846154,8.923076923,34.23076923,35.84615385,0.076923077,0
4113483,499,2,1.071428571,14,0,0,0,0,0,300,108.4545455,17.45454545,9.909090909,12.81818182,0,0
4113571,1005,1,1,14,0,0,0,0,0,1600,151.4615385,8.307692308,15.92307692,15.92307692,0,0
4114271,1005,1,1,15,0,0,3.153846154,83.84615385,0,680,31.23076923,5.461538462,71.92307692,83.61538462,0.769230769,0
4115013,1005,1,1,16,0,0,2.692307692,78.46153846,0,1422,31.15384615,1.230769231,29.23076923,29.84615385,0.153846154,0
4115861,1005,1,1,15,0,0,8,146.9230769,0,14,41.92307692,6.307692308,22.30769231,28.23076923,0,0
4116178,113,1,1,15,0,0,9.846153846,263.8461538,0,2558.5,410.4615385,72.46153846,56.23076923,53.30769231,0.153846154,0
4116219,493,79,9.666666667,9,0,0,0.333333333,6.666666667,0,77,5.166666667,3.166666667,23.83333333,23,0,0
4117177,1017,1,1,2,0,0,0,0,0,0,10.5,7,6.5,2.5,0,0
4117366,262,1,1,15,0,0,6.692307692,196.9230769,0,310,134.2307692,14.38461538,34.23076923,36.61538462,0.076923077,0
4117885,111,1,1,13,0,0,1.692307692,46.92307692,0,1940,137.6923077,8.153846154,25.76923077,33.84615385,0.230769231,0
4118231,496,7,3.058823529,17,0,0,0,0,0,540,139.6666667,11.83333333,18,24.25,0,0
4118520,496,1,1,13,0,0,5.076923077,101.5384615,0,43,80.69230769,13.46153846,40.23076923,33.84615385,0.076923077,0
4120062,113,7,1.6,10,0,0,4.7,127,0,0,41.4,3.1,14.4,16.3,0,0
4121164,1005,78,24.57142857,7,0,0,0,0,0,0,130.5714286,16.28571429,15.85714286,20.28571429,0,1
4121264,262,1,1,14,0,0,6.538461538,106.9230769,0,110,89.07692308,8.615384615,29.61538462,42.53846154,0.076923077,0
4122225,1005,59,7,10,0,0,2.5,49,0,150,108.8,29.1,26.1,22.6,0.4,0
4122513,113,1,1,14,0,0,9,163.8461538,0,152.5,383.0769231,32.69230769,88.69230769,79.69230769,0.076923077,0
4122758,493,1,1,2,0,0,0,0,0,0,74.5,3.5,8,3,0,0
4123637,493,3,1.153846154,13,1590.05,122.3115385,10.15384615,290,0,288.43,185.4615385,15.53846154,58.30769231,58.38461538,0.615384615,0
4123835,262,1,1,15,2242.4016,172.4924308,8,207.6923077,0,772.1,183.3076923,19.46153846,38.53846154,30.46153846,0.153846154,0
4124339,1005,7,1.4,15,304.3412,23.41086154,4.384615385,122.3076923,0,0,78.53846154,5.076923077,8.923076923,9.692307692,0,0
4124463,493,4,1.214285714,14,0,0,5,84.61538462,0,180,108.3076923,22.46153846,59.53846154,72.84615385,0.615384615,0
4124598,499,1,1,21,1582.6,121.7384615,16.23076923,341.5384615,0,793.47,93.07692308,24.38461538,45.76923077,36.38461538,0.076923077,0
4124836,517,94,11.66666667,9,0,0,0.444444444,11.11111111,0,0,56.22222222,4.888888889,19.44444444,28.11111111,0.111111111,1
4125056,111,4,1.384615385,13,0,0,3.076923077,57.69230769,0,0,84.69230769,10.84615385,34.53846154,46.23076923,0.538461538,0
4125827,496,3,1.777777778,18,0,0,4,93.84615385,0,950,121.2307692,9.307692308,32.92307692,47,0.076923077,0
4126341,499,1,1,13,0,0,6.615384615,187.6923077,0,455,48,3.615384615,9.307692308,9.769230769,0,1
4127052,262,1,1,14,270.1216,20.77858462,4.538461538,120,0,107,62.61538462,16.30769231,34.30769231,55.53846154,0.384615385,0
4127155,1005,16,2.307692308,13,0,0,0.083333333,1.666666667,0,0,31.91666667,1.416666667,15.75,15.91666667,0.5,0
4127288,226,58,5.142857143,14,0,0,7.090909091,92.72727273,0,300,72.90909091,12.81818182,43.72727273,45.18181818,0.181818182,0
4127566,496,31,7,15,0,0,4.785714286,107.1428571,0,421,59.42857143,7.285714286,21.92857143,26.21428571,0.142857143,0
4128131,496,7,1.666666667,15,0,0,1.153846154,30.76923077,0,300,153.6923077,6.615384615,14.15384615,16.30769231,0.230769231,0
4128316,499,30,2.933333333,15,0,0,6.642857143,199.2857143,0,476,209.8571429,31.57142857,74.71428571,93,0,0
4128494,496,2,1.071428571,14,0,0,3.769230769,76.15384615,0,150,156.0769231,13.30769231,30.76923077,37.46153846,0.076923077,0
4130249,499,1,1,16,0,0,16.46153846,233.8461538,0,2191,193.1538462,14.38461538,46.53846154,53.84615385,0.076923077,0
4130749,496,1,1,10,0,0,0.777777778,8.888888889,0,20,41.22222222,7.666666667,10.11111111,12.11111111,0,0
4131093,113,1,1,13,0,0,6.692307692,186.1538462,0,970,406.7692308,27.84615385,29.92307692,25.38461538,0,0
4131632,493,1,1,13,0,0,9.384615385,200,0,491,273.5384615,25.69230769,54.23076923,59.61538462,0.384615385,0
4132112,1005,32,3.4,15,501.5528,41.79606667,6.75,163.3333333,0,60,72.66666667,16.91666667,42.58333333,44.83333333,0,0
4132485,496,24,10.44444444,9,0,0,4,57.77777778,0,0,154.7777778,11.22222222,11.88888889,9.444444444,0,0
4132757,226,51,16.83333333,6,0,0,0.625,12.5,0,0,248.375,120.5,24.5,19,0,0
4132868,1005,1,1,14,148.1706,11.39773846,3.538461538,91.53846154,0,250,120,7.846153846,35.07692308,48.07692308,0.076923077,0
4133099,1005,1,1,14,0,0,4.923076923,110.7692308,0,50,90.84615385,15.30769231,23.84615385,17.23076923,0,0
4133796,496,1,1,14,0,0,2.538461538,54.61538462,0,720,148.6153846,25.61538462,52.61538462,49.15384615,0.307692308,1
4134423,496,1,1,18,548.504,42.19261538,12.30769231,325.3846154,0,0,102.6153846,10.23076923,10.76923077,13.84615385,0.230769231,0
4134567,111,31,11.16666667,18,0,0,0.142857143,3.571428571,0,1750,189.6428571,34.14285714,108.0714286,118,0.214285714,0
4135473,113,1,1,13,0,0,6.461538462,174.6153846,0,940,222.0769231,23.53846154,77.84615385,69.46153846,0.076923077,0
4135685,499,24,13.6,5,0,0,0.2,4,0,0,95.4,0.8,10.8,8.6,0,0
4136075,496,1,1,15,0,0,5.076923077,129.2307692,0,694.5,26,5.769230769,67.30769231,79.15384615,0.461538462,0
4136934,496,1,1,15,123.7803,9.521561538,3.769230769,90,0,249,38.15384615,6.769230769,18.15384615,15.38461538,0.230769231,1
4137072,493,1,1,14,0,0,7.307692308,217.6923077,0,40,395.0769231,25.46153846,57.69230769,79.38461538,0.230769231,0
4137686,202,32,6.166666667,6,0,0,3.333333333,75,0,0,17.5,6,7.833333333,6.833333333,0,0
4138236,1005,262,66.25,4,0,0,2.75,50,0,0,39.75,3.5,8,13,0,1
4138821,262,3,1.611111111,18,0,0,2.833333333,66.66666667,0,907.26,155.5,1.166666667,15.66666667,14.08333333,0,0
4138917,262,32,3.066666667,15,0,0,4.666666667,140,5,120,21.91666667,3.5,5.333333333,4.833333333,0.083333333,0
4142860,493,15,2.076923077,13,0,0,9.5,140,0,100,130.6666667,20.58333333,54.25,52,0.416666667,0
4152077,113,1,1,14,133.3008,10.25390769,4.230769231,110.7692308,1,4,39.69230769,7.923076923,8.538461538,15.53846154,0.153846154,0
4163716,1005,29,10.25,4,0,0,2,26.66666667,0,0,28.33333333,10.66666667,4.333333333,3.666666667,0,1
4166838,1017,63,14,6,0,0,0,0,0,600,220,35.5,28,35.75,0,1
4167925,499,1,1,15,0,0,9.846153846,169.2307692,0,592.5,235,14.38461538,8.769230769,6.923076923,0,0
4169752,499,2,1.076923077,13,0,0,4.307692308,111.5384615,0,99,32.38461538,4,75.07692308,91.23076923,1.153846154,0
4174229,499,29,2.8125,16,593.0236,34.88374118,3.470588235,89.41176471,5,100,7.470588235,0.294117647,1.882352941,2.941176471,0,0
4181625,1005,47,4.833333333,12,0,0,6.909090909,180,0,200,139.1818182,26.27272727,294.1818182,97.09090909,0,0
4184079,499,31,19,5,0,0,2.25,57.5,0,0,6,2.75,12.25,31.25,0,0
4184859,496,1,1,18,0,0,3.384615385,100.7692308,0,146,65.76923077,5.769230769,10.30769231,8.923076923,0.076923077,0
4186068,116,1,1,1,0,0,0,0,1,0,11,11,10,5,1,0
4188679,496,9,2,14,0,0,3.166666667,80,0,40,78.91666667,6.166666667,56.25,60.16666667,0.416666667,0
4202531,496,4,1.2,15,0,0,3.538461538,82.30769231,0,280,26.69230769,5.846153846,25.84615385,26.69230769,0.153846154,0
4205761,496,31,7,15,0,0,2.571428571,70,0,260,106.5,8.071428571,59.21428571,67.85714286,0.428571429,0
